case_id,corner,temp_k,vdd,spice_snm_mv,native_snm_mv,delta_snm_mv,spice_noise,native_noise,delta_noise,spice_ber_raw,native_ber_raw,spice_ber,native_ber,delta_ber,spice_hold_snm_mv,native_hold_snm_mv,delta_hold_snm_mv,spice_read_snm_mv,native_read_snm_mv,delta_read_snm_mv,spice_write_margin_mv,native_write_margin_mv,delta_write_margin_mv,spice_noise_sigma,native_noise_sigma,delta_noise_sigma,spice_read_fail,spice_read_fail_raw,native_read_fail,delta_read_fail,spice_write_fail,spice_write_fail_raw,native_write_fail,delta_write_fail,native_backend_label,native_engine,data_source,spice_source,simulator,spice_runtime_ms,native_runtime_ms,spice_mc_runs,spice_mc_mode,spice_mc_mode_effective,spice_mc_seed,measure_contract_revision,pdk_id,pdk_class,model_revision,macro_mode,pdk_license,ber_contract_mode,snm_noise_contract_mode,spice_snm_mv_raw,spice_hold_snm_mv_raw,spice_read_snm_mv_raw,spice_write_margin_mv_raw,spice_noise_raw,spice_noise_sigma_raw,spice_snm_mv_contract,spice_hold_snm_mv_contract,spice_read_snm_mv_contract,spice_write_margin_mv_contract,spice_noise_contract,spice_noise_sigma_contract,spice_read_fail_contract,spice_write_fail_contract,snm_mv_contract_requested_raw_key,snm_mv_contract_source_raw_key,snm_mv_contract_fallback_used,snm_mv_contract_fit_status,snm_mv_contract_reason,hold_snm_mv_contract_requested_raw_key,hold_snm_mv_contract_source_raw_key,hold_snm_mv_contract_fallback_used,hold_snm_mv_contract_fit_status,hold_snm_mv_contract_reason,read_snm_mv_contract_requested_raw_key,read_snm_mv_contract_source_raw_key,read_snm_mv_contract_fallback_used,read_snm_mv_contract_fit_status,read_snm_mv_contract_reason,write_margin_mv_contract_requested_raw_key,write_margin_mv_contract_source_raw_key,write_margin_mv_contract_fallback_used,write_margin_mv_contract_fit_status,write_margin_mv_contract_reason,noise_contract_requested_raw_key,noise_contract_source_raw_key,noise_contract_fallback_used,noise_contract_fit_status,noise_contract_reason,noise_sigma_contract_requested_raw_key,noise_sigma_contract_source_raw_key,noise_sigma_contract_fallback_used,noise_sigma_contract_fit_status,noise_sigma_contract_reason,spice_ber_contract,native_ber_contract,delta_ber_contract,ber_contract_center_mv,ber_contract_slope_mv,ber_contract_fit_samples
tt_t233_v0p90,tt,233.15,0.9,201.17052770208332,201.18201639201365,0.011488689930331475,0.056436481440103825,0.056548359880209176,0.00011187844010535075,0.999994,0.42912109375,0.43755239015793185,0.43753710408110363,-1.52860768282137e-05,201.17052770208332,201.18201639201365,0.011488689930331475,194.41283685636114,194.39621320638855,-0.016623649972586918,843.6892002244707,843.4516401197909,-0.23756010467980104,0.056436481440103825,0.056548359880209176,0.00011187844010535075,1.4463977028112222e-08,1.0,1.4494063787751547e-08,3.008675963932556e-11,0.0,7.18314e-47,0.0,0.0,hybrid-native,cpu,predictive-pdk-pre-silicon,pdk,ngspice,2571.756000001187,3668.6829999998736,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,freepdk45_openram,predictive,freepdk45-openram-local,compiled-sram,Apache-2.0,native_fit,affine_corner_temp,1.71703e-06,1.71703e-06,-825.995,899.998,0.917773,0.917773,201.17052770208332,201.17052770208332,194.41283685636114,843.6892002244707,0.056436481440103825,0.056436481440103825,1.4463977028112222e-08,0.0,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.43755239015793185,0.43753710408110363,-1.52860768282137e-05,154.72602628092648,184.96302594879572,27
tt_t233_v1p00,tt,233.15,1.0,211.15977783329413,211.13676526975064,-0.023012563543488795,0.05170281426200074,0.05145988953574294,-0.00024292472625780243,0.999994,0.41455078125,0.4243091979759877,0.42433958973978386,3.0391763796155935e-05,211.15977783329413,211.13676526975064,-0.023012563543488795,204.92828031621363,204.96157852546148,0.03329820924784599,948.0649997570202,948.540110464257,0.4751107072368086,0.05170281426200074,0.05145988953574294,-0.00024292472625780243,3.885418863319885e-09,1.0,3.869280286996824e-09,-1.6138576323061192e-11,0.0,2.67718e-52,0.0,0.0,hybrid-native,cpu,predictive-pdk-pre-silicon,pdk,ngspice,2553.2602999992378,3664.335999998002,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,freepdk45_openram,predictive,freepdk45-openram-local,compiled-sram,Apache-2.0,native_fit,affine_corner_temp,3.67707e-06,3.67707e-06,-911.154,999.997,0.911155,0.911155,211.15977783329413,211.15977783329413,204.92828031621363,948.0649997570202,0.05170281426200074,0.05170281426200074,3.885418863319885e-09,0.0,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.4243091979759877,0.42433958973978386,3.0391763796155935e-05,154.72602628092648,184.96302594879572,27
tt_t233_v1p10,tt,233.15,1.1,221.1185296609303,221.1300535345434,0.011523873613100477,0.047661529953103354,0.04779257623925586,0.00013104628615250719,0.999994,0.41302734375,0.41121373206745493,0.41119864737556877,-1.508469188615802e-05,221.1185296609303,221.1300535345434,0.011523873613100477,215.41161894510802,215.3949443858327,-0.016674559275315914,1052.4449743633018,1052.2074237607442,-0.23755060255757598,0.047661529953103354,0.04779257623925586,0.00013104628615250719,1.0479265187666802e-09,1.0,1.0501130107538647e-09,2.1864919871844248e-12,0.0,9.97853e-58,0.0,0.0,hybrid-native,cpu,predictive-pdk-pre-silicon,pdk,ngspice,2558.9399999989837,3657.39129999929,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,freepdk45_openram,predictive,freepdk45-openram-local,compiled-sram,Apache-2.0,native_fit,affine_corner_temp,3.42998e-06,3.42998e-06,-996.053,1100.0,0.905505,0.905505,221.1185296609303,221.1185296609303,215.41161894510802,1052.4449743633018,0.047661529953103354,0.047661529953103354,1.0479265187666802e-09,0.0,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.41121373206745493,0.41119864737556877,-1.508469188615802e-05,154.72602628092648,184.96302594879572,27
tt_t298_v0p90,tt,298.15,0.9,189.90345795608104,190.30097865874697,0.3975207026659291,0.09800546439007295,0.09806671067686912,6.124628679617106e-05,0.999994,0.44767578125,0.45259622758807455,0.45206381399524187,-0.0005324135928326812,189.90345795608104,190.30097865874697,0.3975207026659291,178.08878886141937,178.53297337752267,0.44418451610329157,797.0242065971925,801.9332893231309,4.909082725938447,0.09800546439007295,0.09806671067686912,6.124628679617106e-05,1.1129308399887017e-07,0.99997,1.0528216793722625e-07,-6.010916061643921e-09,0.0,0.000150182,0.0,0.0,hybrid-native,cpu,predictive-pdk-pre-silicon,pdk,ngspice,2456.4576000011584,3774.1296000021975,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,freepdk45_openram,predictive,freepdk45-openram-local,compiled-sram,Apache-2.0,native_fit,affine_corner_temp,1.02359e-07,1.02359e-07,-33.3566,120.428,0.470158,0.470158,189.90345795608104,189.90345795608104,178.08878886141937,797.0242065971925,0.09800546439007295,0.09800546439007295,1.1129308399887017e-07,0.0,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.45259622758807455,0.45206381399524187,-0.0005324135928326812,154.72602628092648,184.96302594879572,27
tt_t298_v1p00,tt,298.15,1.0,204.7723147276305,200.28974193138072,-4.4825727962497695,0.08199018484473583,0.08701643009705404,0.005026245252318207,0.999994,0.438984375,0.43276604804857544,0.4387246552964363,0.005958607247860848,204.7723147276305,200.28974193138072,-4.4825727962497695,194.85653946067862,189.84777031973422,-5.008769140944395,961.0734733207377,912.983569902946,-48.089903417791675,0.08199018484473583,0.08701643009705404,0.005026245252318207,1.3683604860536039e-08,1.0,2.559237668476724e-08,1.19087718242312e-08,0.0,2.68089e-52,0.0,0.0,hybrid-native,cpu,predictive-pdk-pre-silicon,pdk,ngspice,2838.414300000295,21.833999999216758,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,freepdk45_openram,predictive,freepdk45-openram-local,compiled-sram,Apache-2.0,native_fit,affine_corner_temp,2.82943e-07,2.82943e-07,-897.277,999.986,0.897284,0.897284,204.7723147276305,204.7723147276305,194.85653946067862,961.0734733207377,0.08199018484473583,0.08199018484473583,1.3683604860536039e-08,0.0,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.43276604804857544,0.4387246552964363,0.005958607247860848,154.72602628092648,184.96302594879572,27
tt_t298_v1p10,tt,298.15,1.1,206.21921877102082,210.30427086460463,4.085052093583812,0.08218298642418106,0.07709549488506667,-0.0050874915391143916,0.999994,0.43244140625,0.4308467623033187,0.4254394145239796,-0.0054073477793391,206.21921877102082,210.30427086460463,4.085052093583812,196.48822685355546,201.05281147839662,4.56458462484116,979.7236844230802,1022.9045051149335,43.18082069185334,0.08218298642418106,0.07709549488506667,-0.0050874915391143916,1.1158900929604861e-08,1.0,6.307026919331799e-09,-4.851874010273062e-09,0.0,9.99725e-58,0.0,0.0,hybrid-native,cpu,predictive-pdk-pre-silicon,pdk,ngspice,2861.9070000022475,29.67539999735891,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,freepdk45_openram,predictive,freepdk45-openram-local,compiled-sram,Apache-2.0,native_fit,affine_corner_temp,4.77165e-07,4.77165e-07,-981.346,1099.98,0.892142,0.892142,206.21921877102082,206.21921877102082,196.48822685355546,979.7236844230802,0.08218298642418106,0.08218298642418106,1.1158900929604861e-08,0.0,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.4308467623033187,0.4254394145239796,-0.0054073477793391,154.72602628092648,184.96302594879572,27
tt_t398_v0p90,tt,398.15,0.9,179.6633170408628,173.60766582621156,-6.055651214651249,0.16526396691264608,0.1694166319145761,0.0041526650019300115,0.999994,0.46892578125,0.46634518595794133,0.4745013099493255,0.008156123991384157,179.6633170408628,173.60766582621156,-6.055651214651249,159.96918567292383,153.27766999646244,-6.691515676461393,799.074706694882,730.5833680854239,-68.49133860945813,0.16526396691264608,0.1694166319145761,0.0041526650019300115,1.0718233643652426e-06,1.0,2.4739086134255095e-06,1.4020852490602669e-06,0.0,7.29489e-47,0.0,0.0,hybrid-native,cpu,predictive-pdk-pre-silicon,pdk,ngspice,2613.7952000026416,22.107400000095367,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,freepdk45_openram,predictive,freepdk45-openram-local,compiled-sram,Apache-2.0,native_fit,affine_corner_temp,9.44566e-09,9.44566e-09,-795.138,899.875,0.883557,0.883557,179.6633170408628,179.6633170408628,159.96918567292383,799.074706694882,0.16526396691264608,0.16526396691264608,1.0718233643652426e-06,0.0,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.46634518595794133,0.4745013099493255,0.008156123991384157,154.72602628092648,184.96302594879572,27
tt_t398_v1p00,tt,398.15,1.0,178.19594450601784,183.65325839917307,5.457313893155231,0.1650257642486038,0.16080649432012228,-0.004219269928481512,0.999994,0.466875,0.46832004946706873,0.4609808309113341,-0.007339218555734606,178.19594450601784,183.65325839917307,5.457313893155231,158.3261282278119,164.3564790807584,6.030350852946498,779.1254880178461,839.1935056798777,60.06801766203159,0.1650257642486038,0.16080649432012228,-0.004219269928481512,1.3161926506945452e-06,1.0,6.19371548477779e-07,-6.968211022167663e-07,0.0,2.72539e-52,0.0,0.0,hybrid-native,cpu,predictive-pdk-pre-silicon,pdk,ngspice,2724.749699998938,19.27149999755784,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,freepdk45_openram,predictive,freepdk45-openram-local,compiled-sram,Apache-2.0,native_fit,affine_corner_temp,1.0254e-08,1.0254e-08,-876.809,999.855,0.876882,0.876882,178.19594450601784,178.19594450601784,158.3261282278119,779.1254880178461,0.1650257642486038,0.1650257642486038,1.3161926506945452e-06,0.0,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.46832004946706873,0.4609808309113341,-0.007339218555734606,154.72602628092648,184.96302594879572,27
tt_t398_v1p10,tt,398.15,1.1,193.04692563947103,193.64526296096702,0.5983373214959897,0.150174372353901,0.15024097728045252,6.660492655152783e-05,0.999994,0.4608984375,0.44838912978352835,0.44758915521298404,-0.0007999745705443151,193.04692563947103,193.64526296096702,0.5983373214959897,174.95518086379786,175.61634568731273,0.6611648235148664,941.335701772121,949.7590227195476,8.423320947426646,0.150174372353901,0.15024097728045252,6.660492655152783e-05,1.6465758321133267e-07,0.999996,1.515965134261862e-07,-1.306106978514647e-08,0.0,3.69837e-08,0.0,0.0,hybrid-native,cpu,predictive-pdk-pre-silicon,pdk,ngspice,2696.9495000012103,20.25859999776003,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,freepdk45_openram,predictive,freepdk45-openram-local,compiled-sram,Apache-2.0,native_fit,affine_corner_temp,4.05936e-09,4.05936e-09,-50.2333,186.902,0.460711,0.460711,193.04692563947103,193.04692563947103,174.95518086379786,941.335701772121,0.150174372353901,0.150174372353901,1.6465758321133267e-07,0.0,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.44838912978352835,0.44758915521298404,-0.0007999745705443151,154.72602628092648,184.96302594879572,27
ff_t233_v0p90,ff,233.15,0.9,201.2039716907321,201.18201639201365,-0.0219552987184386,0.05655931774397036,0.056548359880209176,-1.0957863761186515e-05,0.999994,0.42912109375,0.4375078921697088,0.43753710408110363,2.9211911394821932e-05,201.2039716907321,201.18201639201365,-0.0219552987184386,194.41913699876164,194.39621320638855,-0.022923792373092056,844.7683128565918,843.4516401197909,-1.3166727368009106,0.05655931774397036,0.056548359880209176,-1.0957863761186515e-05,1.4452590872895916e-08,1.0,1.4494063787751547e-08,4.1472914855631466e-11,0.0,7.18503e-47,0.0,0.0,hybrid-native,cpu,predictive-pdk-pre-silicon,pdk,ngspice,2652.5619000021834,21.331799998733914,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,freepdk45_openram,predictive,freepdk45-openram-local,compiled-sram,Apache-2.0,native_fit,affine_corner_temp,1.08195e-06,1.08195e-06,-821.244,899.996,0.912495,0.912495,201.2039716907321,201.2039716907321,194.41913699876164,844.7683128565918,0.05655931774397036,0.05655931774397036,1.4452590872895916e-08,0.0,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.4375078921697088,0.43753710408110363,2.9211911394821932e-05,154.72602628092648,184.96302594879572,27
ff_t233_v1p00,ff,233.15,1.0,216.15499545445698,211.13676526975064,-5.01823018470634,0.04964172612076958,0.05145988953574294,0.0018181634149733589,0.999994,0.41455078125,0.4177261346815172,0.42433958973978386,0.00661345505826666,216.15499545445698,211.13676526975064,-5.01823018470634,210.20117322694898,204.96157852546148,-5.239594701487505,1001.6138736440055,948.540110464257,-53.073763179748426,0.04964172612076958,0.05145988953574294,0.0018181634149733589,2.0099687638313526e-09,0.999974,3.869280286996824e-09,1.8593115231654713e-09,0.0,5.75946e-05,0.0,0.0,hybrid-native,cpu,predictive-pdk-pre-silicon,pdk,ngspice,2561.093099997379,21.236900000076275,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,freepdk45_openram,predictive,freepdk45-openram-local,compiled-sram,Apache-2.0,native_fit,affine_corner_temp,7.8461e-07,7.8461e-07,-34.3843,128.096,0.470336,0.470336,216.15499545445698,216.15499545445698,210.20117322694898,1001.6138736440055,0.04964172612076958,0.04964172612076958,2.0099687638313526e-09,0.0,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.4177261346815172,0.42433958973978386,0.00661345505826666,154.72602628092648,184.96302594879572,27
ff_t233_v1p10,ff,233.15,1.1,216.0898680511187,221.1300535345434,5.040185483424693,0.049599781790468034,0.04779257623925586,-0.0018072055512121724,0.999994,0.41302734375,0.4178117813281235,0.41119864737556877,-0.0066131339525547506,216.0898680511187,221.1300535345434,5.040185483424693,210.13242589197208,215.3949443858327,5.262518493860625,997.8169878441952,1052.2074237607442,54.390435916548995,0.049599781790468034,0.04779257623925586,-0.0018072055512121724,2.0273156912219786e-09,0.999983,1.0501130107538647e-09,-9.77202680468114e-10,0.0,5.57221e-06,0.0,0.0,hybrid-native,cpu,predictive-pdk-pre-silicon,pdk,ngspice,2582.212500001333,25.002300000778632,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,freepdk45_openram,predictive,freepdk45-openram-local,compiled-sram,Apache-2.0,native_fit,affine_corner_temp,8.65578e-07,8.65578e-07,-37.8119,146.782,0.467655,0.467655,216.0898680511187,216.0898680511187,210.13242589197208,997.8169878441952,0.049599781790468034,0.049599781790468034,2.0273156912219786e-09,0.0,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.4178117813281235,0.41119864737556877,-0.0066131339525547506,154.72602628092648,184.96302594879572,27
ff_t298_v0p90,ff,298.15,0.9,200.24365742715753,190.30097865874697,-9.942678768410559,0.08753170306875348,0.09806671067686912,0.01053500760811564,0.999994,0.44767578125,0.43878600954378627,0.45206381399524187,0.0132778044514556,200.24365742715753,190.30097865874697,-9.942678768410559,189.7261063861692,178.53297337752267,-11.193133008646527,909.5727284984686,801.9332893231309,-107.63943917533766,0.08753170306875348,0.09806671067686912,0.01053500760811564,2.5984559927750753e-08,0.999974,1.0528216793722625e-07,7.92976080094755e-08,0.0,7.86726e-05,0.0,0.0,hybrid-native,cpu,predictive-pdk-pre-silicon,pdk,ngspice,2681.7644000002474,24.13880000312929,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,freepdk45_openram,predictive,freepdk45-openram-local,compiled-sram,Apache-2.0,native_fit,affine_corner_temp,3.85625e-07,3.85625e-07,-34.3619,125.601,0.468402,0.468402,200.24365742715753,200.24365742715753,189.7261063861692,909.5727284984686,0.08753170306875348,0.08753170306875348,2.5984559927750753e-08,0.0,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.43878600954378627,0.45206381399524187,0.0132778044514556,154.72602628092648,184.96302594879572,27
ff_t298_v1p00,ff,298.15,1.0,200.40580563865444,200.28974193138072,-0.1160637072737245,0.0871114059621044,0.08701643009705404,-9.497586505036182e-05,0.999994,0.438984375,0.43857014308409026,0.4387246552964363,0.0001545122123460252,200.40580563865444,200.28974193138072,-0.1160637072737245,189.978430933765,189.84777031973422,-0.13066061403077356,918.2688926754937,912.983569902946,-5.285322772547715,0.0871114059621044,0.08701643009705404,-9.497586505036182e-05,2.517778215343215e-08,1.0,2.559237668476724e-08,4.145945313350894e-10,0.0,2.68559e-52,0.0,0.0,hybrid-native,cpu,predictive-pdk-pre-silicon,pdk,ngspice,2704.0077000019664,21.87939999930677,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,freepdk45_openram,predictive,freepdk45-openram-local,compiled-sram,Apache-2.0,native_fit,affine_corner_temp,5.01776e-07,5.01776e-07,-892.361,999.972,0.892375,0.892375,200.40580563865444,200.40580563865444,189.978430933765,918.2688926754937,0.0871114059621044,0.0871114059621044,2.517778215343215e-08,0.0,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.43857014308409026,0.4387246552964363,0.0001545122123460252,154.72602628092648,184.96302594879572,27
ff_t298_v1p10,ff,298.15,1.1,200.24552838892035,210.30427086460463,10.058742475684284,0.0875355266281319,0.07709549488506667,-0.010440031743065223,0.999994,0.43244140625,0.4387835186168902,0.4254394145239796,-0.013344104092910591,200.24552838892035,210.30427086460463,10.058742475684284,189.7290178557193,201.05281147839662,11.323793622677329,909.9797431670481,1022.9045051149335,112.92476194788537,0.0875355266281319,0.07709549488506667,-0.010440031743065223,2.5975104991710346e-08,0.999992,6.307026919331799e-09,-1.9668078072378548e-08,0.0,4.72283e-07,0.0,0.0,hybrid-native,cpu,predictive-pdk-pre-silicon,pdk,ngspice,2571.6291000026104,22.24449999994249,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,freepdk45_openram,predictive,freepdk45-openram-local,compiled-sram,Apache-2.0,native_fit,affine_corner_temp,2.3444e-07,2.3444e-07,-44.262,166.525,0.464545,0.464545,200.24552838892035,200.24552838892035,189.7290178557193,909.9797431670481,0.0875355266281319,0.0875355266281319,2.5975104991710346e-08,0.0,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.4387835186168902,0.4254394145239796,-0.013344104092910591,154.72602628092648,184.96302594879572,27
ff_t398_v0p90,ff,398.15,0.9,183.54364481912017,173.60766582621156,-9.935978992908616,0.15980114428249514,0.1694166319145761,0.009615487632080949,0.999994,0.46892578125,0.46112808811428807,0.4745013099493255,0.013373221835037419,183.54364481912017,173.60766582621156,-9.935978992908616,164.35563891281703,153.27766999646244,-11.077968916354592,836.8064527471624,730.5833680854239,-106.22308466173854,0.15980114428249514,0.1694166319145761,0.009615487632080949,6.194365988681077e-07,0.999986,2.4739086134255095e-06,1.8544720145574018e-06,0.0,6.04068e-06,0.0,0.0,hybrid-native,cpu,predictive-pdk-pre-silicon,pdk,ngspice,2596.4965999992273,24.287600001116516,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,freepdk45_openram,predictive,freepdk45-openram-local,compiled-sram,Apache-2.0,native_fit,affine_corner_temp,1.83875e-09,1.83875e-09,-39.1473,146.136,0.46231,0.46231,183.54364481912017,183.54364481912017,164.35563891281703,836.8064527471624,0.15980114428249514,0.15980114428249514,6.194365988681077e-07,0.0,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,spice_read_snm_mv_raw,spice_read_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.46112808811428807,0.4745013099493255,0.013373221835037419,154.72602628092648,184.96302594879572,27
